# STRING v12.0 protein-protein interaction subgraph over the NeuroAD gene universe
# (74 PI4AD snapshot genes UNION 50 Open Targets AD targets UNION MECHANISM_GENES = 115 symbols).
# Source: STRING v12.0 https://string-db.org/api/tsv/network (Homo sapiens, taxon 9606),
# fetched 2026-07-11, no credentials. Licensed CC BY 4.0 (bundling a subset is license-clean).
# combined_score is STRING's integrated confidence on the 0-1000 scale (network default cutoff 400).
# This is the offline-first, deterministic PPI network for in-repo RWR/heat-diffusion propagation.
gene_a,gene_b,combined_score,string_version
APOE,BACE1,785,v12.0
APOE,BCHE,835,v12.0
APOE,BCL2,491,v12.0
APOE,BIN1,908,v12.0
APOE,CALR,593,v12.0
APOE,CD33,813,v12.0
APOE,CD4,701,v12.0
APOE,CDK5,631,v12.0
APOE,CLU,999,v12.0
APOE,CSF1R,584,v12.0
APOE,CTNNB1,681,v12.0
APOE,EGF,447,v12.0
APOE,EGFR,608,v12.0
APOE,EPHA1,579,v12.0
APOE,ESR1,479,v12.0
APOE,FGB,439,v12.0
APOE,FN1,712,v12.0
APOE,FOXO3,447,v12.0
APOE,GAPDH,636,v12.0
APOE,GRIN2B,418,v12.0
APOE,GRN,575,v12.0
APOE,GSK3B,703,v12.0
APOE,HFE,471,v12.0
APOE,HMGCR,806,v12.0
APOE,INS,920,v12.0
APOE,ITGAM,699,v12.0
APOE,ITGB1,586,v12.0
APOE,JUN,545,v12.0
APOE,MAPK3,506,v12.0
APOE,MAPT,991,v12.0
APOE,MS4A6A,616,v12.0
APOE,NFKB1,554,v12.0
APOE,PDGFRB,620,v12.0
APOE,PECAM1,595,v12.0
APOE,PICALM,773,v12.0
APOE,PSEN1,956,v12.0
APOE,PSEN2,961,v12.0
APOE,PTEN,528,v12.0
APOE,PTPRC,580,v12.0
APOE,RHOA,408,v12.0
APOE,SLC6A3,451,v12.0
APOE,SORL1,997,v12.0
APOE,SRC,592,v12.0
APOE,STAT3,487,v12.0
APOE,TLR2,543,v12.0
APOE,TLR4,777,v12.0
APOE,TP53,678,v12.0
APOE,TREM2,997,v12.0
APP,B2M,766,v12.0
APP,BACE1,999,v12.0
APP,BCHE,727,v12.0
APP,BCL2,594,v12.0
APP,BIN1,834,v12.0
APP,CALR,878,v12.0
APP,CD33,643,v12.0
APP,CD4,487,v12.0
APP,CDC42,415,v12.0
APP,CDK5,868,v12.0
APP,CLU,998,v12.0
APP,CSF1R,413,v12.0
APP,CTNNB1,814,v12.0
APP,EGF,641,v12.0
APP,EGFR,889,v12.0
APP,EPHA1,521,v12.0
APP,ESR1,435,v12.0
APP,FGB,581,v12.0
APP,FN1,782,v12.0
APP,FOXO3,836,v12.0
APP,FYN,780,v12.0
APP,GAPDH,980,v12.0
APP,GRB2,945,v12.0
APP,GRIN1,776,v12.0
APP,GRIN2A,848,v12.0
APP,GRIN2B,872,v12.0
APP,GRN,601,v12.0
APP,GSK3B,897,v12.0
APP,HMGCR,431,v12.0
APP,HSP90AA1,630,v12.0
APP,HSP90AB1,465,v12.0
APP,INS,799,v12.0
APP,ITGAM,600,v12.0
